Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
2976.0728437900543	50	94.51427	15.18706	145.8587	36.72472	151.0	0.0	0.6259223	0.6259223	0.62592214	0.62592214	-0.6931473	0.00053441525	0.00021330942	7.730005e-05	0.6931687	30049	1532499
3032.701681137085	51	95.48649	19.572287	136.40579	10.299286	151.0	0.0	0.63236076	0.63236076	0.63236207	0.63236207	-0.6931715	0.006984343	1.5688855e-05	6.764719e-06	0.69317317	30049	1562548
3088.914902448654	52	87.55763	16.601847	132.94217	25.823334	151.0	0.0	0.5798518	0.5798518	0.57985246	0.57985246	-0.6931502	0.0024706123	2.2080003e-05	5.9645354e-06	0.6931524	30049	1592597
3144.727318763733	53	93.23464	13.97804	136.75993	30.842953	151.0	0.0	0.617448	0.617448	0.61744785	0.61744785	-0.6931721	0.00028726977	5.2716396e-06	2.2015183e-06	0.6931727	30049	1622646
3200.19580078125	54	92.835045	16.166725	127.637215	-17.917496	151.0	0.0	0.61480165	0.61480165	0.6148017	0.6148017	-0.6931472	0.00018465517	-4.4676062e-07	5.952776e-08	0.6931471	30049	1652695
3255.2532846927643	55	102.9457	20.262474	138.3265	-10.23191	151.0	0.0	0.68175966	0.68175966	0.6817599	0.6817599	-0.6931496	0.002296156	0.0001749714	0.00016388085	0.6931672	30049	1682744
3310.3061821460724	56	114.074356	20.072771	169.46786	47.42695	151.0	0.0	0.7554593	0.7554593	0.75545937	0.75545937	-0.6935067	0.0038041873	1.7850383e-06	6.798127e-07	0.6935071	30049	1712793
3364.9179787635803	57	107.58766	25.459335	157.7274	5.9007173	151.0	0.0	0.7125011	0.7125011	0.7125016	0.7125016	-0.6926862	0.00464499	0.00035813788	0.000111310175	0.6927221	30049	1742842
3419.539811372757	58	97.77383	26.397348	145.7633	-23.72647	151.0	0.0	0.64750874	0.64750874	0.6475088	0.6475088	-0.69319725	0.0006783007	1.4545551e-05	7.0622523e-06	0.69319874	30049	1772891
3474.8498318195343	59	105.33228	22.092821	154.3814	35.633106	151.0	0.0	0.6975649	0.6975649	0.6975644	0.6975644	-0.6942936	0.012433222	0.007928915	0.004942208	0.6950865	30049	1802940
3530.1436381340027	60	106.97797	19.276024	153.13556	31.83047	151.0	0.0	0.70846343	0.70846343	0.7084634	0.7084634	-0.6931473	0.00014041188	-3.1723349e-07	9.721549e-08	0.6931472	30049	1832989
3584.785530567169	61	104.48463	21.706217	146.63239	20.092636	151.0	0.0	0.6919512	0.6919512	0.6919517	0.6919517	-0.6924881	0.0075013814	0.002534797	0.00082759187	0.6927415	30049	1863038
3639.622449159622	62	111.54942	18.360704	150.51123	36.276096	151.0	0.0	0.73873794	0.73873794	0.73873734	0.73873734	-0.69315195	0.0031068113	0.0002537467	6.743334e-05	0.69317734	30049	1893087
3694.55410695076	63	117.15861	16.536469	153.71432	14.505039	151.0	0.0	0.7758848	0.7758848	0.7758848	0.7758848	-0.69314706	2.3871828e-05	1.0658897e-05	3.719615e-06	0.69314826	30049	1923136
3749.152656555176	64	113.74849	24.012314	156.10947	-22.96188	151.0	0.0	0.75330126	0.75330126	0.7533008	0.7533008	-0.6931491	0.0019662678	0.00044168066	0.00012402787	0.6931933	30049	1953185
3804.347199678421	65	117.10834	17.604618	157.28784	30.626438	151.0	0.0	0.77555186	0.77555186	0.77555186	0.77555186	-0.6931473	6.398576e-05	5.8597084e-07	6.907254e-08	0.6931472	30049	1983234
3859.966362953186	66	109.35773	17.617414	148.26051	48.57444	151.0	0.0	0.7242234	0.7242234	0.72422266	0.72422266	-0.6938069	0.007868414	0.0006764468	0.00024176216	0.6938746	30049	2013283
3915.5806617736816	67	106.27895	22.942606	156.32516	22.176495	151.0	0.0	0.7038341	0.7038341	0.7038341	0.7038341	-0.69314736	0.0005273875	0.0030704662	0.0011423209	0.6934544	30049	2043332
3971.3573524951935	68	110.69791	17.351856	150.66934	42.60182	151.0	0.0	0.7330987	0.7330987	0.7330993	0.7330993	-0.6933856	0.0026761345	0.00013042323	1.5441858e-05	0.6933986	30049	2073381
4027.3888478279114	69	116.4816	18.258526	149.00644	28.323242	151.0	0.0	0.77140135	0.77140135	0.7714012	0.7714012	-0.6931529	0.0028322618	0.0014418093	0.0007041396	0.69329715	30049	2103430
