Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
7480000	20.56	20.77	3988	0.01	5e-05	0.6405480027198791
7490000	20.62	20.77	3994	0.01	5e-05	0.6382398486137391
7500000	20.66	20.77	4000	0.01	5e-05	0.6545346816380818
7510000	20.67	20.77	4006	0.01	5e-05	0.649341082572937
7520000	20.68	20.77	4012	0.01	5e-05	0.6381904721260071
7530000	20.72	20.77	4018	0.01	5e-05	0.6427598396937052
7540000	20.7	20.77	4024	0.01	5e-05	0.6408811648686726
7550000	20.7	20.77	4030	0.01	5e-05	0.6408510208129883
7560000	20.7	20.77	4037	0.01	5e-05	0.641195281346639
7570000	20.71	20.77	4043	0.01	5e-05	0.6368069847424825
7580000	20.72	20.77	4049	0.01	5e-05	0.6394860863685607
7590000	20.74	20.77	4055	0.01	5e-05	0.6376379172007243
7600000	20.75	20.77	4061	0.01	5e-05	0.6428777774175009
7610000	20.74	20.77	4067	0.01	5e-05	0.6413692553838094
7620000	20.74	20.77	4073	0.01	5e-05	0.6401795625686646
7630000	20.75	20.77	4079	0.01	5e-05	0.6409203886985779
7640000	20.78	20.78	4085	0.01	5e-05	0.6426588137944539
7650000	20.78	20.79	4092	0.01	5e-05	0.6385933041572571
7660000	20.77	20.79	4098	0.01	5e-05	0.6401092529296875
7670000	20.76	20.79	4104	0.01	5e-05	0.6433232506116231
7680000	20.75	20.79	4110	0.01	5e-05	0.6387487967809041
7690000	20.73	20.79	4116	0.01	5e-05	0.6373823444048564
7700000	20.73	20.79	4122	0.01	5e-05	0.6432796994845073
7710000	20.73	20.79	4128	0.01	5e-05	0.6420077840487163
7720000	20.7	20.79	4134	0.01	5e-05	0.6388821999231974
7730000	20.71	20.79	4140	0.01	5e-05	0.6435797055562337
7740000	20.7	20.79	4146	0.01	5e-05	0.6393843134244283
7750000	20.69	20.79	4152	0.01	5e-05	0.6428445696830749
7760000	20.7	20.79	4159	0.01	5e-05	0.6435757160186768
7770000	20.71	20.79	4165	0.01	5e-05	0.6451860308647156
7780000	20.69	20.79	4171	0.01	5e-05	0.6444022297859192
7790000	20.7	20.79	4177	0.01	5e-05	0.6390910069147746
7800000	20.69	20.79	4183	0.01	5e-05	0.641221300760905
7810000	20.69	20.79	4189	0.01	5e-05	0.6420571843783061
7820000	20.71	20.79	4195	0.01	5e-05	0.6402659138043721
7830000	20.66	20.79	4201	0.01	5e-05	0.640338126818339
7840000	20.68	20.79	4207	0.01	5e-05	0.641592554251353
7850000	20.66	20.79	4213	0.01	5e-05	0.6420948187510173
7860000	20.68	20.79	4219	0.01	5e-05	0.644040032227834
7870000	20.69	20.79	4225	0.01	5e-05	0.6401376922925314
7880000	20.68	20.79	4231	0.01	5e-05	0.6422377943992614
7890000	20.62	20.79	4237	0.01	5e-05	0.64108327627182
7900000	20.63	20.79	4243	0.01	5e-05	0.6415789047876994
7910000	20.63	20.79	4249	0.01	5e-05	0.6426654656728109
7920000	20.63	20.79	4256	0.01	5e-05	0.6436857342720032
7930000	20.61	20.79	4261	0.01	5e-05	0.6425174236297607
7940000	20.63	20.79	4268	0.01	5e-05	0.6430217385292053
7950000	20.6	20.79	4273	0.01	5e-05	0.6406316916147868
7960000	20.59	20.79	4279	0.01	5e-05	0.6403051694234212
7970000	20.54	20.79	4285	0.01	5e-05	0.6416505654652913
7980000	20.54	20.79	4291	0.01	5e-05	0.6370864431063334
7990000	20.5	20.79	4297	0.01	5e-05	0.6405930002530416
8000000	20.54	20.79	4303	0.01	5e-05	0.6421649932861329
8010000	20.54	20.79	4309	0.01	5e-05	0.6368262926737468
8020000	20.54	20.79	4315	0.01	5e-05	0.6443159381548563
8030000	20.53	20.79	4321	0.01	5e-05	0.6413821220397949
