Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
690000	-17.69	-17.69	643	0.379	0.0001	0.5675297419230143
700000	-17.53	-17.53	647	0.37	0.0001	0.5657378117243449
710000	-17.47	-17.43	651	0.361	0.0001	0.5682656606038411
720000	-17.32	-17.32	656	0.352	0.0001	0.5720838109652201
730000	-17.28	-17.28	661	0.34299999999999997	0.0001	0.5797348221143087
740000	-17.14	-17.12	666	0.33399999999999996	0.0001	0.5752798318862915
750000	-16.94	-16.94	670	0.32499999999999996	0.0001	0.5778018673261006
760000	-16.84	-16.84	674	0.31599999999999995	0.0001	0.5781169652938842
770000	-16.63	-16.63	679	0.30699999999999994	0.0001	0.5812034447987874
780000	-16.58	-16.58	683	0.29799999999999993	0.0001	0.580079996585846
790000	-16.4	-16.39	688	0.2889999999999999	0.0001	0.5832315564155579
800000	-16.34	-16.34	693	0.2799999999999999	0.0001	0.5854268550872803
810000	-16.21	-16.21	696	0.2709999999999999	0.0001	0.5841778635978698
820000	-16.06	-16.06	700	0.262	0.0001	0.5922756354014079
830000	-15.98	-15.98	704	0.253	0.0001	0.5901906013488769
840000	-15.85	-15.85	708	0.244	0.0001	0.5927678147951762
850000	-15.73	-15.71	712	0.235	0.0001	0.593459689617157
860000	-15.66	-15.66	716	0.22599999999999998	0.0001	0.5926662762959798
870000	-15.57	-15.57	719	0.21699999999999997	0.0001	0.5950243870417277
880000	-15.5	-15.49	724	0.20799999999999996	0.0001	0.593906557559967
890000	-15.37	-15.36	728	0.19899999999999995	0.0001	0.60042618115743
900000	-15.32	-15.32	732	0.18999999999999995	0.0001	0.6277387340863546
910000	-15.27	-15.2	735	0.18099999999999994	0.0001	0.5985329985618592
920000	-15.01	-15.01	738	0.17199999999999993	0.0001	0.6060842633247375
930000	-14.78	-14.78	741	0.16299999999999992	0.0001	0.6054593801498414
940000	-14.71	-14.7	744	0.15400000000000003	0.0001	0.6062504212061565
950000	-14.59	-14.59	748	0.14500000000000002	0.0001	0.6075322349866231
960000	-14.48	-14.43	752	0.136	0.0001	0.6072515885035197
970000	-14.33	-14.33	755	0.127	0.0001	0.6178863326708476
980000	-14.07	-14.07	758	0.118	0.0001	0.6122922341028849
990000	-13.9	-13.87	761	0.10899999999999999	0.0001	0.6138012250264485
1000000	-13.78	-13.77	764	0.1	0.0001	0.6177938103675842
1010000	-13.63	-13.61	768	0.09982857142857143	0.0001	0.6158987045288086
1020000	-13.46	-13.46	771	0.09965714285714286	0.0001	0.6156069358189901
1030000	-13.34	-13.33	774	0.09948571428571429	0.0001	0.6182704925537109
1040000	-13.31	-13.31	778	0.09931428571428572	0.0001	0.6162694374720256
1050000	-13.08	-13.08	781	0.09914285714285714	0.0001	0.6182288289070129
1060000	-12.93	-12.93	785	0.09897142857142857	0.0001	0.612825353940328
1070000	-12.79	-12.79	788	0.0988	0.0001	0.6161349415779114
1080000	-12.61	-12.61	792	0.09862857142857144	0.0001	0.6167543212572734
1090000	-12.59	-12.55	795	0.09845714285714287	0.0001	0.6168092131614685
1100000	-12.35	-12.35	799	0.0982857142857143	0.0001	0.617353634039561
1110000	-12.22	-12.22	803	0.09811428571428572	0.0001	0.6158451676368714
1120000	-12.05	-12.05	806	0.09794285714285715	0.0001	0.6156591455141703
1130000	-11.98	-11.98	810	0.09777142857142858	0.0001	0.6203092137972513
1140000	-11.77	-11.77	813	0.0976	0.0001	0.617209259668986
1150000	-11.56	-11.56	816	0.09742857142857143	0.0001	0.6185201565424602
